State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OYO,IBADAN NORTH EAST,WARD VI E5B,30-07-06-003,"OPEN SPACE BESIDE CHIEF AKINADE'S HOUSE, OJE I",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IDERE I (MOLETE),30-11-01-003,TOWN HALL III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IDERE II (OMINIGBO/OKE - OBA),30-11-02-002,KAJOLA MARKET AREA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IDERE II (OMINIGBO/OKE - OBA),30-11-02-003,KAJOLA MARKET AREA III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IDERE II (OMINIGBO/OKE - OBA),30-11-02-004,OBA MARKET AREA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IDERE II (OMINIGBO/OKE - OBA),30-11-02-006,OBA MARKET AREA III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-001,"A.U.D. SCHOOL, ITA OTOOPO I",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-002,"A.U.D. SCHOOL, ITA OTOOPO II",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-004,"A.U.D. SCHOOL, ITA OTOOPO IV",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-005,"A.U.D. SCHOOL, ITA LADOKE I",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-007,"A.U.D. SCHOOL, ITA LADOKE III",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-009,"BAPTIST SCHOOL II, PAKO (ABESIN)",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-010,"LAPAMPA COMPOUND, ODOFIN LAONA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-011,LAPAMPA COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-012,KUMOLU (ELERANKAJU) I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-013,KUMOLU (ELERANKAJU) II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-014,KUMOLU GREAT MOTHER I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-015,KUMOLU GREAT MOTHER II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-016,PAKO MARKET I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-017,PAKO MARKET II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-019,"KASALI ONILU, AKONIKORO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,IGBOLE/PAKO,30-11-07-021,"AFRICAN CHURCH SCHOOL, OGUNBI",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,ISALE-OBA,30-11-08-005,"JAGODE COMPOUND, METHODIST MISSION II",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,ISALE-OBA,30-11-08-014,"BAARO MARKET, ELEWI ODO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,ISALE-OBA,30-11-08-018,ONILE VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,OKESERIN I & II,30-11-09-002,OBATADE VILLAGE (ABUKELE),0,0,0,0,1,0,1,1,0,0,0,0,0,
