State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OYO,AFIJIO,ILORA I,30-01-01-001,A.U.D PRY. SCHOOL,341,1160,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,178,45,75,4,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100043/100043-1677590505.pdf
OYO,AFIJIO,ILORA I,30-01-01-002,BODE OPEN SPACE I,237,929,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,118,19,71,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100044/100044-1677593453.pdf
OYO,AFIJIO,ILORA I,30-01-01-005,BODE OPEN SPACE II,251,778,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100045/100045-1677597046.pdf
OYO,AFIJIO,ILORA I,30-01-01-006,BODE OPEN SPACE II,251,778,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,122,6,58,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100045/100045-1677597046.pdf
OYO,AFIJIO,ILORA I,30-01-01-007,BODE OPEN SPACE II,251,778,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100045/100045-1677597046.pdf
OYO,AFIJIO,ILORA II,30-01-02-008,L.G. DISPENSARY,277,779,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24722/pu/100058/100058-1677521628.pdf
OYO,AFIJIO,ILORA III,30-01-03-006,ONIFA PRY. SCHOOL,199,761,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24723/pu/100071/100071-1677589877.pdf
OYO,AFIJIO,AWE I,30-01-06-007,LAWN TENNIS OPEN SPACE II,148,471,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,72,21,28,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98993/result_85015_1677503936_thumb.jpg
OYO,AFIJIO,AKINMORIN/JOBELE,30-01-08-004,"ST. JOHN'S PRY SCHOOL, AKINMORIN",282,979,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,999,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99005/result_85030_1677680272_thumb.jpg
OYO,AFIJIO,IWARE,30-01-09-003,IWARE MARKET OPEN SPACE,224,713,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,76,0,24,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/003/003-1677426553.pdf
OYO,AFIJIO,IMINI,30-01-10-002,ABA ANTI OPEN SPACE,50,191,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,36,1,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99015/result_85045_1677499892_thumb.jpg
OYO,AKINYELE,IKEREKU,30-02-01-001,FALEYE VILLAGE,143,685,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,76,6,54,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99020/result_85049_1677493251_thumb.jpg
OYO,AKINYELE,IKEREKU,30-02-01-002,"METHODIST PRY. SCHOOL, IKEREKU I",144,711,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,65,7,61,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99021/result_85050_1677493442_thumb.jpg
OYO,AKINYELE,IKEREKU,30-02-01-003,"METHODIST PRY. SCHOOL, IKEREKU II",141,650,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,63,6,54,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99022/result_85051_1677493000_thumb.jpg
OYO,AKINYELE,OLANLA/OBODA/LABODE,30-02-02-001,AGBAAGI VILLAGE,68,289,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99024/result_85053_1677581462_thumb.jpg
OYO,AKINYELE,OLANLA/OBODA/LABODE,30-02-02-010,OLANLA  (OGBONGAN),146,569,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,51,4,58,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99033/result_85062_1677583793_thumb.jpg
OYO,AKINYELE,OLANLA/OBODA/LABODE,30-02-02-011,OLUNLOSIN VILLAGE,103,556,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99034/result_85063_1677583938_thumb.jpg
OYO,AKINYELE,ARULOGUN/ENIOSA/ARORO,30-02-03-001,AJOBO VILLAGE,741,3704,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,27,15,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99038/result_85067_1677666005_thumb.jpg
OYO,AKINYELE,ARULOGUN/ENIOSA/ARORO,30-02-03-002,AKINAJO VILLAGE,61,441,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,168,18,16,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99039/result_85068_1677612022_thumb.jpg
OYO,AKINYELE,OLODE/AMOSUN/ONIDUNDU,30-02-04-001,ABATAN VILLAGE,61,224,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,40,1,17,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99047/result_85084_1677618594_thumb.jpg
OYO,AKINYELE,OJO-EMO/MONIYA,30-02-05-005,"APONMODE, VILLAGE",228,1186,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99057/result_85095_1677561386_thumb.jpg
OYO,AKINYELE,OJO-EMO/MONIYA,30-02-05-015,OLORORO SAW-MILL I,214,1051,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99067/result_85105_1677562016_thumb.jpg
OYO,AKINYELE,OJO-EMO/MONIYA,30-02-05-017,OJO-EMO VILLAGE,135,905,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,35,15,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99069/result_85107_1677562128_thumb.jpg
OYO,AKINYELE,AKINYELE/ISABIYI/IREPODUN,30-02-06-001,AJOBO VILLAGE,102,570,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/99071/result_85165_1677616438_thumb.jpg
